26506,,,,,,,,,,,,,,,,,,
,,0-25,26-50,51-75,76-100,101-125,126-150,151-175,176-200,201-225,226-250,251-275,276-300,301-325,326-350,351-360,,
180.625,162.25,,,,,,,,,,,,,,,,,
181.921875,164.25,,,,,,,,,,,,,,,,,
183.234375,166.25,,,,,,,,,,,,,,,,,
184.5,169.25,,,,,,,,,,,,,,,,,
185.8125,171.25,,,,,,,,,,,,,,,,,
187.078125,174.25,,,,,,,,,,,,,,,,,
188.375,176.25,,,,,,,,,,,,,,,,,
189.65625,179.25,,,,,,,,,,,,,,,,,
190.9375,182.25,,,,,,,,,,,,,,,,,
192.1875,186.25,,,,,,,,,,,,,,,,,
194.03125,174.5,,,,,,,,,,,,,,,,,
194.8125,190.5,,,,,,,,,,,,,,,,,
195.8125,202.75,,,,,,,,,,,,,,,,,
197.859375,183.5,,,,,,,,,,,,,,,,,
199.453125,178.25,,,,,,,,,,,,,,,,,
201.015625,174.25,,,,,,,,,,,,,,,,,
202.609375,169.25,,,,,,,,,,,,,,,,,
204.140625,166.25,,,,,,,,,,,,,,,,,
205.734375,162,,,,,,,,,,,,,,,,,
207.265625,159.25,,,,,,,,,,,,,,,,,
208.796875,156.25,,,,,,,,,,,,,,,,,
210.328125,153.25,,,,,,,,,,,,,,,,,
211.90625,150.25,,,,,,,,,,,,,,,,,
349.34375,162.25,,,,,,,,,,,,,,,,,
350.6875,163.25,,,,,,,,,,,,,,,,,
352.03125,164.25,,,,,,,,,,,,,,,,,
353.359375,166.25,,,,,,,,,,,,,,,,,
354.703125,167.25,,,,,,,,,,,,,,,,,
356.015625,169.25,,,,,,,,,,,,,,,,,
357.359375,170.25,,,,,,,,,,,,,,,,,
358.6875,172.25,,,,,,,,,,,,,,,,,
0,174.25,,,,,,,,,,,,,,,,,
1.3125,176.25,,,,,,,,,,,,,,,,,
2.59375,179.25,,,,,,,,,,,,,,,,,
3.921875,181.25,,,,,,,,,,,,,,,,,
5.203125,184.25,,,,,,,,,,,,,,,,,
6.53125,186.25,,,,,,,,,,,,,,,,,
7.8125,189.25,,,,,,,,,,,,,,,,,
9.109375,192.25,,,,,,,,,,,,,,,,,
10.375,196.25,,,,,,,,,,,,,,,,,
12.09375,186.5,,,,,,,,,,,,,,,,,
12.71875,211.5,,,,,,,,,,,,,,,,,
12.546875,287.5,,,,,,,,,,,,,,,,,
16.265625,187.5,,,,,,,,,,,,,,,,,
17.84375,182.25,,,,,,,,,,,,,,,,,
19.453125,177.25,,,,,,,,,,,,,,,,,
21,173.25,,,,,,,,,,,,,,,,,
22.578125,169.25,,,,,,,,,,,,,,,,,
24.15625,165.25,,,,,,,,,,,,,,,,,
25.6875,162.25,,,,,,,,,,,,,,,,,
27.28125,158.25,,,,,,,,,,,,,,,,,
28.8125,155.25,,,,,,,,,,,,,,,,,
30.3125,153.25,,,,,,,,,,,,,,,,,
31.875,150.25,,,,,,,,,,,,,,,,,
33.390625,148.25,,,,,,,,,,,,,,,,,
34.890625,146.25,,,,,,,,,,,,,,,,,
36.421875,144.25,,,,,,,,,,,,,,,,,
37.9375,142.25,,,,,,,,,,,,,,,,,
39.46875,140.25,,,,,,,,,,,,,,,,,
40.984375,138.25,,,,,,,,,,,,,,,,,
42.453125,137.25,,,,,,,,,,,,,,,,,
43.90625,136.25,,,,,,,,,,,,,,,,,
